,id,genre,track_name,artist_name,valence,energy,mood_vec,distances
1951,6uEyGA86fFogA1Jb2B3Vqk,garage,Navajo,Black Lips,0.586,0.891,"[0.586, 0.891]",0.28713759767748975
1952,3oqCnpAoHf3SDFynxx7AU4,garage,Fancy,Iggy Azalea,0.365,0.709,"[0.365, 0.709]",0.27870593822163175
1953,6MW8aQyILwnaTMAcful96e,garage,Lupine Dominus,Thee Oh Sees,0.0365,0.841,"[0.0365, 0.841]",0.3117214301263229
1954,4UEuepgoHL2vslEHYOv76I,garage,Dreamer - Radio Edit,Various Artists,0.727,0.901,"[0.727, 0.901]",0.42106175319066913
1955,1bJbhVv617ihj4WoMxtTJX,garage,It's a London Thing 2012 - Original Re Edit,Scott Garcia,0.932,0.905,"[0.932, 0.905]",0.6229028816757876
1956,4C1DYxmCjgFC1JvGT26GvK,garage,The Theme,Various Artists,0.907,0.966,"[0.907, 0.966]",0.5932436261773066
1957,5qrfyPM4s9VG0WpEKBEWrZ,garage,Voices,Disclosure,0.704,0.735,"[0.704, 0.735]",0.4621731277346185
1958,4BRamgDPbtkD4Mw1WyTaYb,garage,One Night Stand - StarGate Radio Edit,Mis-Teeq,0.844,0.698,"[0.844, 0.698]",0.6017682278086806
1959,12ivKyTudU9frbmLFoRTsa,garage,Gotta Have It - Radio Mix,MJ Cole,0.961,0.655,"[0.961, 0.655]",0.7253916183690021
1960,3jfr0TF6DQcOLat8gGn7E2,garage,Do I Wanna Know?,Arctic Monkeys,0.405,0.532,"[0.405, 0.532]",0.4600891218014179
1961,13RqGX5TtjjfdkGtmdiulq,garage,She Does,Various Artists,0.691,0.967,"[0.691, 0.967]",0.37733936979859384
1962,1cSF9T4IpkbfWTg1bXvCDY,garage,Rock'n America,Various Artists,0.523,0.977,"[0.523, 0.977]",0.20908610666421623
1963,2ANizw1jaLMP5UQHYyOvri,garage,Don't Tread On Me,Metallica,0.682,0.833,"[0.682, 0.833]",0.3973965274131117
1964,3EQmHMbEcqTnyxxlcVn9gb,garage,Anthem,King Tuff,0.201,0.909,"[0.201, 0.909]",0.1350740537631117
1965,36f45es7EH7JyT4sFl1irf,garage,Nitroglycerine,The Gories,0.574,0.902,"[0.574, 0.902]",0.27232517327636085
1966,5lJUXSjRjevVy7I3P87wuK,garage,Your Touch,The Black Keys,0.698,0.768,"[0.698, 0.768]",0.44009203582887063
